Nodes,Cores,Memory,CPU model,GPUs,GPU type,GPU memory,Misc. features,Node list
1,2x32,1006GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,(null),node5002
1,2x48,1502GB,AMD EPYC 9455 48-Core Processor,4,NVIDIA H200 NVL,140GB,(null),node4002
2,2x48,1502GB,AMD EPYC 9474F 48-Core Processor,1,NVIDIA L4,22GB,(null),node2809-2810
1,2x32,2006GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA H100 80GB HBM3,79GB,(null),node2435
8,2x32,2006GB,IntelR XeonR Platinum 8462Y+,4,NVIDIA H100 80GB HBM3,79GB,(null),node1702-1703;node1802-1803;node2702-2703;node2802-2803
2,2x56,2006GB,IntelR XeonR Platinum 8480+,8,NVIDIA H100 80GB HBM3,79GB,(null),node2900-2901
1,2x60,2006GB,INTELR XEONR PLATINUM 8580,8,NVIDIA H100 80GB HBM3,79GB,(null),node2501
20,2x60,2006GB,INTELR XEONR PLATINUM 8580,8,NVIDIA H200,140GB,(null),node2433-2434;node2500;node3000-3001;node3100-3101;node3200-3201;node3300-3301;node3400;node4300-4301;node4400;node4500;node4900;node5000-5001;node5200
7,2x64,2006GB,IntelR XeonR 6767P,8,NVIDIA RTX PRO 6000 Blackwell Server Edition,95GB,(null),node5003-5005;node5101;node5202-5204
2,2x60,2007GB,INTELR XEONR PLATINUM 8580,8,NVIDIA H200,140GB,(null),node3401;node4100
2,2x64,2007GB,AMD EPYC 7713 64-Core Processor,8,NVIDIA A100 80GB PCIe,80GB,(null),node3804;node3806
5,2x16,368GB,AMD EPYC 9135 16-Core Processor,2,NVIDIA RTX PRO 6000 Blackwell Server Edition,95GB,(null),node4004;node4007-4008;node5103-5104
3,1x48,369GB,AMD EPYC 9474F 48-Core Processor,2,NVIDIA H100 NVL,93GB,(null),node1708-1709;node4508
2,1x48,369GB,AMD EPYC 9474F 48-Core Processor,3,NVIDIA L40S,44GB,(null),node1804-1805
2,1x64,369GB,AMD EPYC 9554P 64-Core Processor,2,NVIDIA L40S,44GB,(null),node1704-1705
2,2x16,495GB,IntelR XeonR 6724P,2,NVIDIA H200 NVL,140GB,(null),node4009-4010
1,2x20,495GB,IntelR XeonR Silver 4316 CPU @ 2.30GHz,2,NVIDIA A100 80GB PCIe,80GB,(null),node2418
4,2x20,495GB,IntelR XeonR Silver 4316 CPU @ 2.30GHz,4,NVIDIA A100 80GB PCIe,80GB,(null),node2414-2417
21,2x64,495GB,AMD EPYC 7763 64-Core Processor,4,NVIDIA A100-SXM4-80GB,80GB,(null),node1463;node1917-1918;node2000-2005;node2100-2104;node2119;node2300-2304;node2319
1,2x16,746GB,AMD EPYC 9135 16-Core Processor,2,NVIDIA H200 NVL,140GB,(null),node5105
1,2x16,747GB,AMD EPYC 9135 16-Core Processor,2,NVIDIA RTX PRO 6000 Blackwell Server Edition,95GB,(null),node5106
4,2x32,998GB,AMD EPYC 7543 32-Core Processor,4,NVIDIA A100-SXM4-80GB,80GB,(null),node4213;node4309;node4417;node4501
2,2x32,998GB,AMD EPYC 75F3 32-Core Processor,4,NVIDIA A100-SXM4-80GB,80GB,(null),node1927-1928
50,2x32,998GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,(null),node1634;node2804;node3002-3008;node3202-3208;node3302;node3402-3408;node3501-3512;node4102-4108;node4201-4207
1,2x32,998GB,IntelR XeonR 6745P,4,NVIDIA H200 NVL,140GB,(null),node5201
1,2x24,999GB,INTELR XEONR GOLD 6542Y,4,NVIDIA H100 80GB HBM3,79GB,(null),node3614
10,2x24,999GB,INTELR XEONR GOLD 6542Y,4,NVIDIA L40S,44GB,(null),node3615;node3619-3620;node4401-4404;node4505-4507
1,2x32,999GB,AMD EPYC 7513 32-Core Processor,6,NVIDIA A100 80GB PCIe,80GB,(null),node3903
1,2x32,999GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA H100 80GB HBM3,79GB,(null),node2436
23,2x32,999GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,(null),node1632-1633;node2643-2644;node2903;node3102;node3500;node4200;node4208-4212;node4302-4308;node4502-4504
1,2x32,999GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,r9-pa-c14,node3600
1,2x32,999GB,IntelR XeonR 6745P,4,NVIDIA H200 NVL,140GB,(null),node5102
1,2x32,999GB,IntelR XeonR Gold 6338 CPU @ 2.00GHz,4,NVIDIA A40,44GB,(null),node2403
5,2x32,999GB,IntelR XeonR Platinum 8462Y+,4,NVIDIA H100 80GB HBM3,79GB,(null),node2640-2642;node2904-2905
1,2x48,999GB,AMD EPYC 7643 48-Core Processor,7,NVIDIA A100 80GB PCIe,80GB,(null),node3906
11,2x48,999GB,AMD EPYC 7643 48-Core Processor,8,NVIDIA A100 80GB PCIe,80GB,(null),node3807-3808;node3810-3811;node3904-3905;node3907-3911
1,2x48,999GB,INTELR XEONR PLATINUM 8568Y+,4,NVIDIA L40S,44GB,(null),node2902
4,2x48,999GB,IntelR XeonR Platinum 8468,8,NVIDIA H100 80GB HBM3,79GB,(null),node3009;node3209;node3409;node4109
2,2x64,999GB,AMD EPYC 7713 64-Core Processor,8,NVIDIA A100 80GB PCIe,80GB,(null),node3805;node3809
2,2x64,999GB,AMD EPYC 7713 64-Core Processor,8,NVIDIA A100-SXM4-80GB,80GB,(null),node4000-4001
