Nodes,Cores,Memory,CPU model,GPUs,GPU type,GPU memory,Misc. features,Node list
58,2x32,1005GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,(null),node1632-1634;node2804;node3002-3008;node3202-3208;node3302;node3402-3408;node3500-3512;node4103-4108;node4200-4212
1,2x32,1005GB,IntelR XeonR Platinum 8462Y+,4,NVIDIA H100 80GB HBM3,79GB,(null),node2906
1,2x64,1005GB,AMD EPYC 7713 64-Core Processor,8,NVIDIA A100-SXM4-80GB,80GB,(null),node4000
4,2x32,1006GB,AMD EPYC 7543 32-Core Processor,4,NVIDIA A100-SXM4-80GB,80GB,(null),node9902-9905
2,2x32,1006GB,AMD EPYC 75F3 32-Core Processor,4,NVIDIA A100-SXM4-80GB,80GB,(null),node1927-1928
1,2x32,1006GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA H100 80GB HBM3,79GB,(null),node2436
3,2x32,1006GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,(null),node2643-2644;node2903
1,2x32,1006GB,IntelR XeonR Gold 6338 CPU @ 2.00GHz,4,NVIDIA A40,44GB,(null),node2403
5,2x32,1006GB,IntelR XeonR Platinum 8462Y+,4,NVIDIA H100 80GB HBM3,79GB,(null),node2640-2642;node2904-2905
4,2x48,1006GB,AMD EPYC 7643 48-Core Processor,8,NVIDIA A100 80GB PCIe,80GB,(null),node3908-3911
1,2x48,1006GB,INTELR XEONR PLATINUM 8568Y+,4,NVIDIA L40S,44GB,(null),node2902
1,2x24,1007GB,INTELR XEONR GOLD 6542Y,4,NVIDIA H100 80GB HBM3,79GB,(null),node3614
10,2x24,1007GB,INTELR XEONR GOLD 6542Y,4,NVIDIA L40S,44GB,(null),node3615;node3619-3620;node4401-4404;node4505-4507
1,2x32,1007GB,AMD EPYC 7513 32-Core Processor,6,NVIDIA A100 80GB PCIe,80GB,(null),node3903
10,2x32,1007GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,(null),node4302-4308;node4502-4504
1,2x32,1007GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,r9-pa-c14,node3600
8,2x48,1007GB,AMD EPYC 7643 48-Core Processor,8,NVIDIA A100 80GB PCIe,80GB,(null),node3807-3808;node3810-3811;node3904-3907
4,2x48,1007GB,IntelR XeonR Platinum 8468,8,NVIDIA H100 80GB HBM3,79GB,(null),node3009;node3209;node3409;node4109
2,2x64,1007GB,AMD EPYC 7713 64-Core Processor,8,NVIDIA A100 80GB PCIe,80GB,(null),node3805;node3809
1,2x64,1007GB,AMD EPYC 7713 64-Core Processor,8,NVIDIA A100-SXM4-80GB,80GB,(null),node4001
1,2x48,1509GB,AMD EPYC 9455 48-Core Processor,4,NVIDIA H200 NVL,140GB,(null),node4002
2,2x48,1510GB,AMD EPYC 9474F 48-Core Processor,1,NVIDIA L4,22GB,(null),node2809-2810
11,2x60,2011GB,INTELR XEONR PLATINUM 8580,8,NVIDIA H200,140GB,(null),node2433-2434;node3000-3001;node3100-3101;node3200-3201;node3300-3301;node3400
1,2x32,2014GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA H100 80GB HBM3,79GB,(null),node2435
7,2x32,2014GB,IntelR XeonR Platinum 8462Y+,4,NVIDIA H100 80GB HBM3,79GB,(null),node1702;node1802-1803;node2702-2703;node2802-2803
2,2x56,2014GB,IntelR XeonR Platinum 8480+,8,NVIDIA H100 80GB HBM3,79GB,(null),node2900-2901
1,2x60,2014GB,INTELR XEONR PLATINUM 8580,8,NVIDIA H100 80GB HBM3,79GB,(null),node2501
5,2x60,2014GB,INTELR XEONR PLATINUM 8580,8,NVIDIA H200,140GB,(null),node2500;node4300-4301;node4400;node4500
2,2x64,2015GB,AMD EPYC 7713 64-Core Processor,8,NVIDIA A100 80GB PCIe,80GB,(null),node3804;node3806
3,2x16,371GB,AMD EPYC 9135 16-Core Processor,2,NVIDIA RTX PRO 6000 Blackwell Server Edition,95GB,(null),node4004;node4007-4008
2,1x48,376GB,AMD EPYC 9474F 48-Core Processor,2,NVIDIA H100 NVL,93GB,(null),node1708-1709
2,1x48,376GB,AMD EPYC 9474F 48-Core Processor,3,NVIDIA L40S,44GB,(null),node1804-1805
2,1x64,376GB,AMD EPYC 9554P 64-Core Processor,2,NVIDIA L40S,44GB,(null),node1704-1705
1,1x48,377GB,AMD EPYC 9474F 48-Core Processor,2,NVIDIA H100 NVL,93GB,(null),node4508
2,2x16,501GB,IntelR XeonR 6724P,2,NVIDIA H200 NVL,140GB,(null),node4009-4010
1,2x20,502GB,IntelR XeonR Silver 4316 CPU @ 2.30GHz,2,NVIDIA A100 80GB PCIe,80GB,(null),node2418
4,2x20,502GB,IntelR XeonR Silver 4316 CPU @ 2.30GHz,4,NVIDIA A100 80GB PCIe,80GB,(null),node2414-2417
20,2x64,502GB,AMD EPYC 7763 64-Core Processor,4,NVIDIA A100-SXM4-80GB,80GB,(null),node1463;node1917-1918;node2000-2002;node2004-2005;node2100-2104;node2119;node2300-2304;node2319
