Nodes,Cores,Memory,CPU model,GPUs,GPU type,GPU memory,Misc. features,Node list
36,2x32,1005GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,(null),node1634;node2804;node3002-3008;node3202-3208;node3302;node3402-3408;node3501-3512
1,2x32,1005GB,IntelR XeonR Platinum 8462Y+,4,NVIDIA H100 80GB HBM3,79GB,(null),node2906
7,2x32,1007GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,(null),node4102-4108
7,,1007GB,,4,NVIDIA L40S,44GB,(null),node4201-4207
11,2x60,2011GB,INTELR XEONR PLATINUM 8580,8,NVIDIA H200,140GB,(null),node2433-2434;node3000-3001;node3100-3101;node3200-3201;node3300-3301;node3400
