Nodes,Cores,Memory,CPU model,GPUs,GPU type,GPU memory,Misc. features,Node list
11,2x60,2006GB,INTELR XEONR PLATINUM 8580,8,NVIDIA H200,140GB,(null),node2433-2434;node3000-3001;node3100-3101;node3200-3201;node3300-3301;node3400
2,2x60,2007GB,INTELR XEONR PLATINUM 8580,8,NVIDIA H200,140GB,(null),node3401;node4100
50,2x32,998GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,(null),node1634;node2804;node3002-3008;node3202-3208;node3302;node3402-3408;node3501-3512;node4102-4108;node4201-4207
3,2x32,999GB,INTELR XEONR PLATINUM 8562Y+,4,NVIDIA L40S,44GB,(null),node3102;node3500;node4200
